frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
{{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2,3,0,1}|2.2.27.2|{-2,3,0,1}
{{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0}}|{3,5,7,11,13,17,19,23,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2,0,-1,1}|2.2.29.1|{-2,0,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1}}|{3,5,7,11,13,17,19,23,29,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1,1,0,1}|2.2.31.1|{-1,1,0,1}
{{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{1,0,0,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1}}|{3,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2,2,0,1}|2.2.35.1|{-2,2,0,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{1,-3,-1,1}|2.2.37.1|{1,-3,-1,1}
{{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,47,53,59,61,67,71,73,79,83,89,97}|{3,-1,-1,1}|2.2.43.1|{3,-1,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0}}|{5,7,11,13,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,1,-1,1}|2.2.51.1|{-3,1,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,67,71,73,79,83,89,97}|{-2,4,-1,1}|2.2.53.1|{-2,4,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,67,71,73,79,83,89,97}|{8,0,-1,1}|2.2.53.2|{8,0,-1,1}
{{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0}}|{3,7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-8,2,0,1}|2.2.55.1|{-8,2,0,1}
{{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{-1,2,0,1}|2.2.59.1|{-1,2,0,1}
{{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{-6,-5,0,1}|2.2.59.2|{-6,-5,0,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,67,71,73,79,83,89,97}|{-6,1,0,1}|2.2.61.1|{-6,1,0,1}
{{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,71,73,79,83,89,97}|{5,-3,-1,1}|2.2.67.1|{5,-3,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,73,79,83,89,97}|{-2,-6,-1,1}|2.2.71.1|{-2,-6,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{1,0,0,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,-3,-1,1}|2.2.75.1|{-3,-3,-1,1}
{{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{2,-4,-1,1}|2.2.79.1|{2,-4,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{1,0,0,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-4,-3,0,1}|2.2.81.1|{-4,-3,0,1}
{{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{1,0,0,1},{0,1,1,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-10,-3,0,1}|2.2.81.2|{-10,-3,0,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,89,97}|{-2,1,-1,1}|2.2.83.1|{-2,1,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,1}}|{3,7,11,13,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{10,-6,-1,1}|2.2.85.1|{10,-6,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0}}|{5,7,11,13,17,19,23,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{1,2,-1,1}|2.2.87.1|{1,2,-1,1}
{{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{1,0,0,1},{0,1,1,0}}|{5,7,11,13,17,19,23,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{6,-2,-1,1}|2.2.87.2|{6,-2,-1,1}
{{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,97}|{7,1,-1,1}|2.2.89.1|{7,1,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1}}|{3,5,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2,4,0,1}|2.2.91.1|{-2,4,0,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1}}|{3,5,11,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2,6,-1,1}|2.2.91.2|{-2,6,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,1}}|{5,7,11,13,17,19,23,29,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-6,-6,-1,1}|2.2.93.1|{-6,-6,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1,-5,-1,1}|2.2.101.1|{-1,-5,-1,1}
{{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-6,2,-1,1}|2.2.101.2|{-6,2,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,1},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-2,3,-1,1}|2.2.107.1|{-2,3,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{11,1,-1,1}|2.2.107.2|{11,1,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,1}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-4,1,0,1}|2.2.109.1|{-4,1,0,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0}}|{5,7,11,13,17,19,23,29,31,41,43,47,53,59,61,67,71,73,79,83,89,97}|{3,9,-1,1}|2.2.111.1|{3,9,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1}}|{3,7,11,13,17,19,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,5,-1,1}|2.2.115.1|{-3,5,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1}}|{3,5,7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{2,4,-1,1}|2.2.121.1|{2,4,-1,1}
{{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0}}|{5,7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{3,3,-1,1}|2.2.123.1|{3,3,-1,1}
{{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0}}|{5,7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,0,-1,1}|2.2.123.2|{-12,0,-1,1}
{{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{2,-6,-1,1}|2.2.127.1|{2,-6,-1,1}
{{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0},{1,0,0,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{1,0,0,1},{0,1,1,1}}|{5,7,11,13,17,19,23,29,31,37,41,47,53,59,61,67,71,73,79,83,89,97}|{-9,1,-1,1}|2.2.129.1|{-9,1,-1,1}
{{0,1,1,1},{1,0,0,1},{0,1,1,1},{1,0,0,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,0},{0,1,1,1},{0,1,1,0}}|{3,5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-5,3,-1,1}|2.2.131.1|{-5,3,-1,1}
