frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
{{2,1,4,0},{0,4,1,4},{2,1,4,0},{0,4,1,4},{3,0,1,2},{0,4,1,4},{0,4,1,4},{3,0,1,2},{4,3,2,3},{0,4,1,4},{3,3,3,0},{0,1,4,1},{3,0,1,2},{3,0,1,2},{3,0,1,2},{3,0,1,2},{0,4,1,4},{0,4,1,4},{3,0,1,2},{0,1,4,1},{0,4,1,4},{3,0,1,2},{3,0,1,2}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-101979,1602486,-10063844,30397782,-33505665,-50171648,180624737,-114783923,-186606176,282285448,2935614,-187477560,65511470,41951652,-21867384,-4282317,3027675,222906,-215122,-6449,8051,117,-146,-1,1}|5.2.796.1|{-728,344,270,-78,-2,1}
{{2,1,1,1},{0,1,4,1},{4,1,1,3},{0,1,4,1},{2,0,0,3},{4,1,4,0},{0,1,4,1},{2,0,0,3},{2,3,3,0},{0,1,4,1},{0,2,2,3},{4,1,4,0},{2,0,0,3},{2,0,0,3},{2,0,0,3},{2,0,0,3},{0,1,4,1},{4,1,4,0},{2,0,0,3},{0,1,4,1},{0,1,4,1},{2,0,0,3},{2,0,0,3}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-31,1670,-8503,-187664,-352779,557674,1413989,-769264,-2378635,769880,2223506,-661838,-1237487,421882,406762,-168208,-74755,39030,6515,-5014,-70,324,-24,-8,1}|5.2.796.2|{-728,344,270,-78,-2,1}
{{1,4,4,2},{1,4,4,2},{2,2,0,3},{0,3,3,4},{0,2,2,3},{0,2,2,1},{0,2,2,1},{1,4,4,2},{0,3,3,4},{0,2,2,1},{0,2,2,1},{2,2,2,0},{2,2,2,0},{2,2,0,3},{2,4,1,0},{0,3,3,4},{0,3,3,4},{2,2,2,0},{0,3,3,4},{2,2,0,3},{0,3,3,4},{2,4,1,0}}|{3,7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{1,52,729,2538,-8224,-42142,62286,248762,-386241,-577132,1292804,85278,-1624759,981802,315374,-441668,36309,74188,-16064,-5698,1686,192,-71,-2,1}|5.2.76.1|{4427,2280,-95,-95,0,1}
{{0,1,4,3},{0,1,4,3},{1,1,3,4},{3,4,2,3},{0,2,2,2},{3,4,2,3},{3,4,2,3},{4,4,4,3},{3,4,2,3},{3,4,2,3},{3,4,2,3},{0,2,2,2},{1,2,3,2},{1,1,3,4},{4,4,4,3},{3,1,2,1},{3,4,2,3},{1,2,3,2},{3,4,2,3},{1,1,3,4},{3,1,2,1},{0,1,4,3}}|{3,7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{625,0,295000,0,11794410,0,42473800,0,64531375,0,52451200,0,24756780,0,6939200,0,1139135,0,105000,0,5130,0,120,0,1}|5.2.304.1|{4427,2280,-95,-95,0,1}
{{4,2,3,3},{1,3,2,2},{2,4,1,0},{1,1,2,3},{2,1,0,3},{2,1,2,4},{2,1,0,3},{2,1,2,4},{2,1,2,4},{1,3,2,2},{1,3,2,2},{1,1,2,3},{0,4,1,3},{2,4,1,0},{1,3,2,2},{1,3,2,2},{2,4,1,0},{2,4,1,0},{1,3,2,2},{2,1,0,3},{2,1,0,3},{2,1,0,3},{1,1,2,3}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{2520,33870,54995,-830805,-2747355,5079165,21948665,-15314160,-64993175,35177960,69371840,-38869665,-29321730,18515345,5245365,-4176090,-337475,479320,-8605,-28365,1971,816,-79,-9,1}|5.2.59.1|{295,-1475,-2065,-295,0,1}
{{2,4,4,1},{4,4,4,3},{0,3,3,3},{0,4,1,4},{2,0,4,3},{0,4,1,4},{2,0,4,3},{0,4,1,4},{0,1,4,1},{2,4,4,1},{4,4,4,3},{0,4,1,4},{3,2,3,4},{0,3,3,3},{4,4,4,3},{2,4,4,1},{0,3,3,3},{3,2,3,4},{4,4,4,3},{2,0,4,3},{2,0,4,3},{2,0,4,3},{0,1,4,1}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{6561,-119556,904446,-3555576,6853221,-606726,-28339389,64865129,-55081609,-29290586,128714501,-155633741,102348796,-34493791,147481,4836239,-1672479,27029,112401,-21431,-1754,884,-39,-11,1}|5.2.59.2|{295,-1475,-2065,-295,0,1}
{{2,3,4,4},{2,4,1,0},{2,2,0,3},{2,2,0,3},{2,2,2,0},{2,3,4,4},{0,3,3,4},{1,4,4,2},{0,2,2,3},{2,2,0,3},{2,3,4,4},{2,4,1,0},{2,2,2,0},{2,4,1,0},{0,3,3,4},{0,3,3,4},{1,4,4,2},{2,2,0,3},{2,2,2,0},{0,2,2,3},{2,2,0,3},{2,4,1,0},{2,2,0,3}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{38025,0,1777325,0,11050155,0,28765825,0,39608250,0,31604600,0,15082665,0,4287700,0,709300,0,67250,0,3540,0,95,0,1}|5.2.79.1|{120080,25675,-1185,-395,0,1}
{{3,2,3,4},{3,2,3,4},{3,2,0,2},{1,2,2,0},{4,4,4,3},{4,3,3,0},{1,2,2,0},{1,2,3,2},{1,2,2,0},{1,2,2,0},{4,3,3,0},{3,4,1,0},{3,4,1,0},{3,2,0,2},{3,2,3,4},{1,2,2,0},{4,3,3,0},{3,4,1,0},{4,3,3,0},{3,2,0,2},{4,3,3,0},{1,2,3,2}}|{3,7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{44271,-254437,-692031,2614282,6587951,-2767846,-14067948,-1221159,14388188,3859369,-8680849,-2974447,3383939,1217637,-889849,-298931,159812,44791,-19242,-3926,1461,178,-61,-3,1}|5.2.76.2|{4427,2280,-95,-95,0,1}
{{4,1,2,2},{4,1,2,2},{1,0,0,1},{1,4,3,3},{3,1,2,1},{3,1,2,1},{1,0,0,1},{1,4,3,3},{2,4,3,4},{4,0,0,4},{1,0,0,1},{2,4,3,4},{4,1,2,2},{1,4,3,3},{2,4,3,4},{1,4,3,3},{4,0,0,4},{1,4,3,3},{2,4,3,4},{4,0,0,4},{2,4,3,4},{1,0,0,1}}|{3,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-875,0,350,0,-35,0,1}|5.2.784.1|{1,-2,-1,1}
{{0,3,3,3},{1,4,0,1},{3,3,1,3},{3,0,4,2},{2,2,4,2},{3,0,4,2},{3,3,1,3},{3,3,1,3},{2,3,3,0},{2,3,3,0},{2,2,4,2},{1,1,1,2},{1,4,0,1},{2,3,3,0},{0,3,3,3},{1,4,0,1},{1,1,1,2},{2,3,3,0},{3,0,4,2},{3,0,4,2},{3,0,4,2},{3,3,1,3}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{9922500,0,174947625,0,998075845,0,2093054650,0,2073074275,0,1077928450,0,310902035,0,51266300,0,4934860,0,278210,0,8945,0,150,0,1}|5.2.944.1|{295,-1475,-2065,-295,0,1}
{{3,1,3,3},{4,2,3,3},{3,0,2,2},{4,2,0,4},{4,1,0,4},{3,0,2,2},{1,1,0,1},{3,1,3,3},{3,0,2,2},{4,2,3,3},{3,0,2,2},{1,1,0,1},{3,0,2,2},{3,0,2,2},{3,1,3,3},{4,2,3,3},{3,0,2,2},{4,2,0,4},{4,2,3,3},{2,1,3,2},{2,1,3,2},{3,0,2,2}}|{3,7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{16716725,-23310800,-201692800,109263850,949574325,159378810,-1782208055,-972325005,1302483360,963601830,-469881392,-425692254,96051416,101921158,-12600178,-14164807,1197581,1153716,-85282,-52973,4029,1233,-102,-11,1}|5.2.164.1|{62976,6560,-2870,-410,0,1}
{{1,0,4,1},{4,0,3,4},{0,3,3,1},{1,2,4,4},{0,3,3,1},{1,2,4,4},{0,2,2,4},{0,3,3,1},{1,0,4,1},{4,0,4,4},{0,2,2,4},{0,3,3,2},{4,0,3,4},{4,0,4,4},{4,0,4,4},{4,0,3,4},{4,0,3,4},{4,0,4,4},{1,2,4,4},{1,2,4,4},{1,2,4,4},{0,2,2,4}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{25300900,0,746335425,0,5141523920,0,10668792900,0,8922277750,0,3638616700,0,820353235,0,109224225,0,8813710,0,428540,0,12025,0,175,0,1}|5.2.944.2|{295,-1475,-2065,-295,0,1}
{{1,2,1,3},{0,4,1,3},{2,0,3,3},{0,4,1,3},{2,2,3,1},{2,0,3,3},{2,2,3,1},{1,2,2,0},{2,0,3,3},{2,4,1,0},{2,0,3,3},{2,2,3,1},{2,0,3,3},{2,0,3,3},{1,2,2,0},{0,4,1,3},{2,0,3,3},{0,4,1,3},{0,4,1,3},{1,2,2,0},{1,2,1,3},{2,0,3,3}}|{3,7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{121330225,0,4673663734,0,41298279869,0,78386144590,0,43813965290,0,12086817950,0,1950617005,0,197756850,0,12908770,0,537530,0,13605,0,186,0,1}|5.2.656.1|{62976,6560,-2870,-410,0,1}
{{1,4,4,2},{1,2,4,4},{1,2,1,3},{1,0,3,1},{1,2,1,3},{1,2,1,3},{1,4,4,2},{1,2,1,3},{1,2,1,3},{4,3,4,2},{3,3,3,0},{3,3,3,0},{1,2,4,4},{3,4,4,4},{1,2,1,3},{4,3,4,2},{1,0,3,1},{1,2,1,3},{1,2,4,4},{4,3,4,2},{3,4,4,4}}|{7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{276339241,-203806698,986617654,-2760115822,6147701936,-9358390782,9809457551,-7410672868,4187626099,-1829501642,858086034,-395885742,159415721,-46566638,16166224,-5047898,1526069,-283212,93611,-14488,4241,-348,99,-2,1}|5.2.684.1|{4427,2280,-95,-95,0,1}
{{3,1,2,1},{4,1,2,2},{1,0,0,1},{4,1,2,2},{2,4,3,4},{3,1,2,1},{4,0,0,4},{4,1,2,2},{2,4,3,4},{1,0,0,1},{4,0,0,4},{2,4,3,4},{1,4,3,3},{1,4,3,3},{2,4,3,4},{4,1,2,2},{4,0,0,4},{1,4,3,3},{3,1,2,1},{4,0,0,4},{3,1,2,1},{1,0,0,1}}|{2,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-251,-197,197,27,-27,-1,1}|5.2.441.1|{1,-2,-1,1}
{{2,3,2,1},{1,1,0,1},{4,2,1,2},{4,3,1,1},{1,3,4,3},{4,3,1,1},{1,3,4,3},{1,3,4,3},{2,3,2,1},{2,3,2,1},{4,2,1,2},{0,1,4,3},{0,1,4,3},{1,2,0,1},{2,3,2,1},{1,1,0,1},{0,1,4,3},{2,3,2,1},{4,3,1,1},{4,3,1,1},{4,3,1,1},{1,3,4,3}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{330726741,-10983360009,149338142866,-990631160099,3318677662141,-5232548901714,4794786187611,-2926298118644,1352891773576,-507412429249,158433140451,-41262311214,8937254076,-1540787104,197941211,-11252859,-2024429,767181,-107434,5601,2136,-529,101,-9,1}|5.2.531.1|{295,-1475,-2065,-295,0,1}
{{1,3,0,1},{1,3,0,1},{1,2,4,4},{0,1,4,4},{4,1,0,4},{0,1,4,4},{1,1,4,0},{1,3,0,1},{0,1,4,4},{1,1,4,0},{0,1,4,4},{4,1,0,4},{2,1,4,0},{1,2,4,4},{1,3,0,1},{1,1,4,0},{1,1,4,0},{2,1,4,0},{1,1,4,0},{1,2,4,4},{0,1,4,4},{1,3,0,1}}|{3,7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{446688225,0,2417072375,0,4577140415,0,4326793600,0,2354459525,0,796688825,0,174693070,0,25253325,0,2402125,0,147200,0,5535,0,115,0,1}|5.2.304.2|{4427,2280,-95,-95,0,1}
{{4,1,2,2},{1,4,2,4},{1,4,2,4},{1,3,2,2},{4,1,2,2},{1,4,3,3},{3,1,4,0},{3,3,2,4},{1,4,2,4},{1,4,3,3},{3,1,4,0},{1,3,2,2},{1,0,4,1},{1,4,3,3},{4,1,2,2},{3,1,4,0},{1,4,2,4},{1,3,2,2},{3,3,2,4},{1,4,2,4},{3,1,4,0},{1,4,2,4}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{646496001,-8317178559,33026897091,-41426950044,-40373833559,139749475013,-67770955697,-80677791812,66719859408,21389922538,-23794000111,-3871075991,4406507059,576874114,-452011326,-58132323,26243442,3297622,-887508,-99948,17681,1511,-199,-9,1}|5.2.711.1|{120080,25675,-1185,-395,0,1}
{{0,2,2,4},{4,0,3,4},{1,2,4,4},{0,3,3,2},{1,0,4,1},{1,2,4,4},{4,0,4,4},{0,3,3,1},{1,2,4,4},{4,0,3,4},{1,2,4,4},{4,0,4,4},{1,2,4,4},{1,2,4,4},{0,3,3,1},{4,0,3,4},{1,2,4,4},{0,3,3,2},{0,3,3,2},{0,3,3,1},{0,2,2,4},{1,2,4,4}}|{3,7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{936335104,5359939584,-7657473536,-36039705216,17651150464,75903655936,-19421329344,-67935572224,14860630016,29740753056,-6797077568,-6877152128,1672442912,886239632,-227009008,-64949448,17394192,2695632,-750308,-62468,17796,766,-214,-4,1}|5.2.164.2|{62976,6560,-2870,-410,0,1}
{{2,4,2,2},{1,4,4,2},{0,2,2,0},{0,2,2,0},{0,2,2,3},{2,4,2,2},{2,4,2,2},{4,4,4,3},{0,2,2,3},{0,2,2,0},{2,4,2,2},{4,4,4,3},{0,2,2,3},{1,4,4,2},{1,2,2,0},{2,4,2,2},{1,4,4,2},{0,2,2,0},{2,3,3,0},{2,3,3,0},{0,2,2,0},{4,4,4,3},{0,2,2,0}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{4871464856,-9802556764,1678125776,6723609341,-1524024304,-3224459397,794258923,854327653,-197631432,-143681897,43578699,2392564,-3937406,1830654,451434,-514068,155022,-4353,-11868,4247,-349,-99,56,-9,1}|5.2.79.2|{120080,25675,-1185,-395,0,1}
{{1,3,4,3},{2,0,2,3},{2,0,2,3},{3,2,3,4},{1,3,4,3},{1,3,4,3},{2,1,4,0},{3,2,3,4},{2,0,2,3},{4,2,1,2},{1,4,4,2},{3,2,3,4},{1,4,4,2},{4,2,1,2},{4,2,1,2},{1,4,4,2},{2,0,2,3},{0,2,2,3},{0,2,2,3},{2,0,2,3},{1,4,4,2},{2,0,2,3}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,83,89,97}|{4932399496,-17469762336,3407187006,51371820949,-50002804479,-38504131957,68256435457,-429508572,-36611490618,10951038653,8627920649,-4481604574,-752668366,751967356,-14872796,-63671838,6956858,2853717,-479227,-64933,14631,624,-204,-1,1}|5.2.711.2|{120080,25675,-1185,-395,0,1}
{{2,1,1,1},{1,4,1,0},{2,1,1,1},{3,0,0,2},{0,2,2,3},{3,0,0,2},{1,4,1,0},{3,1,1,4},{2,3,3,0},{3,0,0,2},{3,1,1,4},{0,2,2,3},{4,1,4,0},{1,4,1,0},{1,4,1,0},{3,0,0,2},{4,1,4,0},{2,3,3,0},{2,3,3,0},{0,2,2,3},{3,0,0,2},{3,0,0,2},{4,1,4,0}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{12407092261,427227556201,226449600471,-4709197895084,-2755589941169,12067567215257,331594488262,-9026900154903,1259627113412,2761428537427,-550698570846,-383220751551,81552183309,27877491429,-5889231861,-1134619297,234991298,26146923,-5360537,-327302,67936,1961,-429,-4,1}|5.2.909.2|{-36461,-28785,-6565,-505,0,1}
{{3,1,1,4},{2,3,0,3},{4,4,3,2},{2,3,2,1},{4,4,3,2},{1,1,2,3},{0,1,4,3},{4,4,3,2},{1,1,2,3},{1,1,2,3},{0,2,2,2},{0,2,2,2},{2,3,0,3},{3,1,1,4},{4,4,3,2},{4,4,3,2},{2,3,2,1},{1,1,2,3},{2,3,0,3},{4,4,3,2},{0,1,4,3}}|{7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{106039064991,45450890778,-18323967506,43049738622,15611298051,-4866682516,7560391807,349947141,-296351252,811686904,-86166504,70449358,42246864,-6001968,9374366,-950791,858277,-43294,51148,-1751,2371,-107,74,-3,1}|5.2.684.2|{4427,2280,-95,-95,0,1}
{{4,1,0,4},{1,0,4,1},{4,1,4,0},{4,1,4,0},{1,0,3,1},{0,4,1,0},{0,4,1,0},{1,4,1,0},{4,1,4,0},{4,1,4,0},{4,3,0,4},{1,4,1,0},{1,4,1,0},{1,4,1,0},{4,1,4,0},{1,4,1,0},{0,4,1,0},{1,0,3,1},{4,3,0,4},{4,1,4,0},{4,1,0,4}}|{7,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{971973548752,-2160948693552,1673307138496,-140715294072,-611515161608,458753663328,-116790516748,-13516449936,27554065492,-11783771802,3700437634,-852830064,168604487,-36976824,9990619,-3579438,1166248,-333384,94703,-15378,1636,-186,13,-6,1}|5.2.396.3|{6424,1760,-330,-110,0,1}
{{1,0,1,1},{4,2,4,1},{4,2,2,0},{0,2,2,1},{4,2,4,1},{4,0,1,4},{4,0,1,4},{0,2,2,1},{4,0,1,4},{4,0,2,4},{4,0,2,4},{0,2,2,1},{4,0,2,4},{4,2,4,1},{0,2,2,2},{4,2,4,1},{4,2,4,1},{4,2,2,0},{0,2,2,2},{4,2,2,0},{4,0,2,4},{4,2,4,1},{4,2,4,1},{4,2,4,1}}|{2,3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{1111799443019,-782760072449,400257467571,-523101085250,227137566471,-131934575298,116897608528,-26986963687,11141557060,-8886736997,1960830405,-222161870,43561940,23043605,-336940,815473,11847,-173798,-17050,-7538,1964,-79,96,0,1}|5.2.131.1|{-914249,237110,-5895,-1310,0,1}
{{2,2,2,0},{2,0,1,3},{4,4,3,2},{2,0,1,3},{4,4,3,2},{1,1,2,3},{2,2,2,0},{4,4,3,2},{2,2,2,0},{3,4,4,4},{2,0,1,3},{3,4,4,4},{1,1,2,3},{2,2,2,0},{1,1,2,3},{1,1,2,3},{2,0,1,3},{2,0,1,3},{1,1,2,3},{3,3,3,0},{4,4,3,2},{2,1,1,1},{3,4,4,4}}|{3,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{2727383479536,2525699104448,-14699890548096,-1540412644048,17000513978936,-273210258336,-8783905531728,355878584676,2471354442268,-81660645316,-412285650614,5645749008,42505915539,331949587,-2749840699,-72018081,111283087,4327146,-2756107,-122406,39821,1633,-306,-8,1}|5.2.524.2|{830278,112660,-2620,-655,0,1}
{{0,2,2,2},{3,4,1,0},{1,4,1,0},{2,0,4,3},{1,4,1,0},{2,0,4,3},{1,4,1,0},{0,4,1,4},{2,3,2,1},{0,2,2,2},{1,4,1,0},{0,4,1,2},{0,4,1,2},{2,3,2,1},{2,3,2,1},{3,4,1,0},{3,4,1,0},{0,2,2,2},{2,0,4,3},{2,0,4,3},{2,0,4,3},{1,4,1,0}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,61,67,71,73,79,83,89,97}|{9773799194776,-24934471031426,39371620511351,-43255771343681,37174401093551,-25646962300146,14768077993911,-7164049581411,2996064384546,-1085942478161,348836471126,-99553732326,25839993461,-6032829101,1299917501,-250951036,45555366,-7275696,1111216,-142791,18346,-1776,186,-11,1}|5.2.531.2|{295,-1475,-2065,-295,0,1}
{{2,2,3,1},{1,3,4,3},{0,2,2,2},{2,4,0,3},{3,1,4,0},{2,4,0,3},{2,3,4,4},{2,2,3,1},{4,4,4,3},{2,4,0,3},{2,2,3,1},{4,4,4,3},{1,3,4,3},{2,3,4,4},{1,3,4,3},{2,4,0,3},{2,3,4,4},{3,1,4,0},{3,1,4,0},{3,1,4,0},{2,4,0,3},{2,4,0,3},{2,3,4,4}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{21236600472111,-64255022106084,27488005341831,37530323164161,6835093485021,-16009340181237,-4756753354872,1908858091668,1076091487753,18726911518,-65684349051,-22348758241,-11897846016,-985622091,1512322579,535470182,91221627,13945642,1504147,-28653,-11064,-149,-114,-4,1}|5.2.909.3|{-36461,-28785,-6565,-505,0,1}
